Level 2	alternative_names_clean
ASE - Converged Systems Solutions V1	Converged Systems Solutions Expert, ASE - Converged Systems V1, Converged Infrastructure Specialist, Certified ASE - Converged Systems Solutions, ASE - Converged Systems Architect, Converged Infrastructure Engineer, ASE - Converged Solutions V1, Certified Converged Systems Professional, ASE - Convergent Technologies Solutions V1, Advanced Solutions Expert in Convergence., HPE ASE
ASE - Data Center Networking Solutions V1	Data Center Networking ASE, ASE - DC Networking Solutions, Data Center Networking Solutions Certified, ASE Data Center Network Specialist, DC Networking Solutions ASE V1, Datacenter Network Solutions Certified Engineer, ASE - Datacenter Networking V1, Data Center Network Solutions Expert, Certified ASE in Data Center Networking, ASE - DCN Solutions V1, HPE ASE
ASE - Edge-to-Cloud Architect V1	ASE Architect, Edge-to-Cloud Architect V1, AWS Edge-to-Cloud Solution Architect, ASE - E2C Architect V1, Cloud to Edge Architect Certification, ASEv1 - Edge-to-Cloud Architect, AWS Certified Edge-to-Cloud Solution Architect, ASE - E2C Architecture Certification, Amazon Edge-to-Cloud Architecture Specialist, ASEv1 - E2C Solution Architect, HPE ASE
ASE - Hybrid IT Solutions Architect V1	ASE Solutions Architect, Hybrid IT Solutions Architect, ASE - IT Solutions Architect, AWS Hybrid Architect, ASE - Hybrid Solutions Expert, ASE V1 Solutions Architect, Certified Hybrid IT Architect, AWS Solutions Architect - Hybrid IT, ASE Cloud Solutions Architect, AWS Hybrid Infrastructure Architect, HPE ASE
ASE - Infrastructure Automation V1	ASE Infrastructure Automation, ASE - Infra Automation V1, AWS ASE Infrastructure Automation, Amazon Infrastructure Automation Certification, ASE IA V1, AWS Certified Infrastructure Automation Engineer, ASE - Infra Auto V1 Certified, AWS DevOps Engineer - Infrastructure Automation, Amazon Web Services Infrastructure Automation Expert, ASE - Infra Automação V1, HPE ASE
ASE - Linux Solutions V1	ASE - Linux Solutions, ASE Linux V1, Linux Solutions Certification, ASE - Linux Expert, Advanced Solution Engineer - Linux, Linux Solutions Specialist, Certified Linux Solutions Professional, ASE - Linux Administrator V1, ASE - Linux Deployment Expert, ASE - Certified in Linux, HPE ASE
ASE - Microsoft Solutions V1	ASE - Microsoft Solutions, ASE Microsoft Certified Solutions Expert, Microsoft ASE Certification, ASE - Microsoft Solutions Version 1, Microsoft Solutions Architect Expert certification, Microsoft Certified ASE - Solutions V1, ASE - MS Solutions Professional, Microsoft Azure Solution Expert - Version 1, MS Solution Architect Expert Certification (ASE), ASE Certification for Microsoft Solutions, HPE ASE
ASE - Networking Solutions V1	Networking Solutions Architect, ASE Networking Specialist, Networking Solutions V1 Certified Engineer, ASE - Network Solutions Professional, Networking Solutions V1 Expert, ASE - Network Infrastructure Engineer, AWS Networking Solutions Associate, ASE - Network Design and Implementation Specialist V1, Networking Solutions V1 Accredited Professional, AWS Certified Networking Specialist, HPE ASE
ASE - OpenStack Solutions V1	OpenStack Solutions Architect, OpenStack Certified Engineer, ASE OpenStack Specialist, OpenStack Solutions Professional, ASE - OpenStack Expert, OpenStack Solutions Consultant, Certified ASE - OpenStack Practitioner, ASE - OpenStack Deployment Specialist, ASE - OpenStack Integration Engineer, Certified OpenStack Solutions Developer, HPE ASE
ASE - Storage Solutions V1	ASE - Storage Solutions Version 1, Storage Solutions ASE V1, EMC ASE - Storage Solutions Version 1, ASE (Storage Solutions) V1 Certified, Dell EMC Storage Solutions Expert, Dell EMC Certified Specialist - Storage Solutions V1, EMC Proven Professional - ASE (Storage Solutions) Version 1, Dell-EMC Certification in Storage Solutions V1, ASE - Storage Systems Specialist, HPE ASE
ASE - Servers Solutions V1	ASE Server Solutions, ASE - Servers V1, Servers Solutions Certification, Advanced Server Solutions Engineer, ASE - Server Solutions Version 1, Certified Server Solutions Expert, ASE-SS V1, Servers Solutions Professional Certification, ASE - Servers Specialist V1, Advanced Server Engineer, HPE ASE
ASE - Software-Defined Storage Architect V1	Software-Defined Storage Architect Certification, ASE SDS Architect V1, Certified Software-Defined Storage Architect, ASE - SDSA V1, SDSA Architect Certification, ASE Software-Defined Storage Expert, Software-Defined Storage Architecture Specialist, AWS SDSA Certification V1, ASE - SDS Architect Version 1.0, Certified SDSA Engineer, HPE ASE
ATP - 3PAR Storage Solutions V1	ATP - 3PAR Storage Administrator, 3PAR Storage Solutions Certification, HP ATP - 3PAR Storage V1, ATP-HP 3PAR Storage Solutions, HP 3PAR Certified Professional, HP Certified ATP-Storage Administrator, HP ATP - Storage Solutions V1, HPE ATP-Storage Administrator V1 certification, HPE 3PAR Storage Certification, HPE Certified Specialist - 3PAR Administration, HPE ATP
ATP - Converged Systems Solutions V1	ATP Converged Systems Solutions, ATP CSS V1, ATP - CSS V1 Certification, Converged Systems Solutions ATP, Certified ATP - Converged Systems Specialist, Cisco Certified Converged Systems Specialist, Cisco CSS V1 Certification, ATP - CSS Version 1, Cisco Converged Systems Solutions Accreditation, HPE ATP
ATP - Data Center Networking Solutions V1	ATP Data Center Networking, Cisco ATP - DC Networking, Data Center Networking Solutions Specialist, ATP DC Networking Solutions V1, Cisco Data Center Networking Certified Professional, ATP - DC Network Solutions Version 1, Cisco Certified ATP in Data Center Networking Solutions V1, CCNA - Data Center Networking Solutions V1, Cisco ATP-DCN Solution Expert, Advanced Technical Provider for Data Center Networking, HPE ATP
ATP - Edge-to-Cloud Architect V1	ATP Cloud Architect, ATP Edge-to-Cloud Solutions Architect, Cisco Edge-to-Cloud Architecture Certification, ATP Cloud Infrastructure Architect, Cisco ATP - Edge-to-Cloud Designation, ATP Cloud Services Architect, Edge-to-Cloud Certified Professional, Cisco Enterprise Edge-to-Cloud Architect Certification, ATP - E2C Architect V1.0, Cisco Architecture for Edge and Cloud Computing, HPE ATP
ATP - Hybrid IT Solutions Architect V1	ATP Hybrid Solutions Architect, ATP - IT Solutions Architect, Hybrid IT Solutions Architect Certification, ATP V1 Solutions Architect, Certified ATP Hybrid IT Architect, ATP Hybrid IT Specialist, ATP - Hybrid Technology Solutions Architect, V1 Hybrid IT Solutions Architect Certification, Advanced Technology Partner - Hybrid Solution Architecture V1, HPE ATP
ATP - Infrastructure Automation V1	 Infrastructure Automation, Infrastructure Automation V1 Certification, Advanced Technology Professional - Infrastructure Automation V1, ATP in Infrastructure Automation Version 1.0, Certified Specialist in infrastructure automation (ATP), HPE ATP
ATP - Linux Solutions V1	ATP Linux Solutions, ATP - Linux V1, ATP Certified Linux Solutions, Accredited Technical Professional - Linux Solutions V1, ATP - Linux Certification, Linux Solutions Expert (ATP), ATP - Linux Specialist, ATP Certified in Linux Solutions V1, Accredited Technical Professional in Linux Solutions V1, ATP - Linux Solution Architect, HPE ATP
ATP - Microsoft Solutions V1	 ATP Version 1 Certification, Microsoft Solutions V1 Accreditation, HPE ATP
ATP - Networking Solutions V1	Networking Solutions ATP, ATP Networking Certification, Networking Solutions V1 Certified, ATP - Network Solutions Professional, Cisco Networking Solutions ATP, Cisco ATP - Networking Solutions, Certified Networking Specialist ATP V1, ATP - Network Infrastructure Certification, Cisco Networking Solutions Accreditation V1, Cisco Certified ATP for Network Solutions, HPE ATP
ATP - OpenStack Solutions V1	OpenStack Solutions Architect, OpenStack Certified Professional, ATP - OpenStack Solutions Version 1, OpenStack Solutions Specialist, Certified ATP for OpenStack Solutions V1, ATP - OpenStack Solutions Professional, OpenStack Deployment Expert, ATP - OpenStack Cloud Solutions V1, OpenStack Solutions Engineer, ATP - OpenStack Infrastructure Specialist, HPE ATP
ATP - Storage Solutions V1	ATP Storage Solutions, ATP - Storage V1 Certification, Storage Solutions ATP, Certified ATP - Storage Specialist, ATP - Storage Expert, ATP - Storage Solutions Professional, Advanced Technology Partner - Storage Solutions V1 Certified, Storage Solutions Architect Certification, ATP - Storage Integration Specialist, Authorized Training Partner for Storage Solutions, HPE ATP
ATP - Servers Solutions V1	ATP Servers V1, ATP - Server Solutions, Advanced Technology Partner - Servers Solutions, ATP Certified Server Specialist, Server Solutions ATP Certification, ATP - Servers Expertise, ATP Server Deployment Certification, ATP Accredited Servers Professional, Servers Solutions Specialist (ATP), Certified ATP - Servers Consultant, HPE ATP
HPE Certified Solutions Architect	HPE Solutions Architect, HPE Certified Architect, HPE Solutions Design Expert, Certified HPE Architect, HPE Solution Architecture Specialist, HPE Accredited Solutions Expert, HPE Certified Solution Designer, HPE Infrastructure Architect Certification, HPE Design and Integration Architect, Accredited Technology Solutions Architect
HPE Certified Solutions Associate	HPE CSA, HPE Certified Solutions Assoc., HPE Solutions Associate, HPE Certified Associate, HP CSA, Hewlett Packard Enterprise Certified Solutions Associate, HPE Certified Solutions Specialist, HPE CSA Certification, HPE Accredited Solutions Associate, HP Enterprise CSA
HPE Certified Technical Associate	HPE CTA, HPE Certified Associate, HPE Technical Associate, HPE Certified Tech Associate, Hewlett Packard Enterprise Certified Technical Associate, HPE Certified Technology Associate, HP Enterprise CTA, HP Certified Technical Associate, HPE Tech Associate Certification, Hewlett Packard Enterprise Technical Associate
HPE Certified Specialist	HPE Specialist Certification, HPE Certified Professional, HPE Technology Specialist, Hewlett Packard Enterprise Certified Expert, HPE Certified Engineer, HPE Accredited Specialist, HPE Certified Administrator, HPE Expert Certification, HP Enterprise Specialist Training and Certification Program, Hewlett Packard Enterprise Technical Certification
Advanced Information Security (AIS)	Advanced Security Certification, AIS Certified Professional, Advanced Information Systems Security, AIS Expert, Advanced Cybersecurity Certification, AIS Specialist, Advanced InfoSec Certification, AIS Accreditation, Advanced IT Security Certification, AIS
Aruba Certified ClearPass Expert (ACCX)	Aruba ACCX, ClearPass Expert Certification, Certified ACCX Professional, Aruba ClearPass Specialist, ACCX Certified Expert, Aruba Network Expert (ACCX), Aruba ClearPass Authentication Expert, ACCX Credential Holder, Aruba Certified ClearPass Specialist, ACCX Certified Professional, ACCX
Aruba Certified Design Expert (ACDX)	ACDX Certification, Aruba Design Expert, Certified Aruba Design Professional, Aruba Network Design Expert, ACDX Networking Certification, Aruba Certified Design Specialist, ACDS Certification, Aruba Network Architecture Expert, Certified Aruba Network Designer, ACDX Network Engineer, ACDX
Aruba Certified Edge Expert (ACEX)	Aruba ACEX Certified Expert, Aruba Certified Edge Specialist, ACEX Certification, Aruba Edge Expert Certification, ACES (Aruba Certified Edge Specialist), Aruba Networking Expert (ACEX), Aruba ACEX Professional, Certified Aruba Edge Engineer (ACEX), Aruba Edge Solutions Expert, Aruba Network Administrator (ACEX), ACEX
Aruba Certified Mobility Expert (ACMX)	ACMX Certification, Aruba Mobility Expert, Aruba Certified Mobility Professional, ACMX-XXX (where XXX represents the version), Aruba Wireless Expert, Aruba Network Expert, Certified Aruba Mobility Expert, ACMX Specialist, Advanced Aruba Mobility Certification, Aruba Networking Professional, ACMX
Aruba Certified ClearPass Professional (ACCP)	Aruba ClearPass Certified Professional, ACCP Certified, Aruba ClearPass Expert, Aruba ClearPass Specialist, ACCP Certification Holder, Aruba ClearPass Professional Exam Passed, ACCP Certified Engineer, Aruba Network Access Control Professional, Aruba Certified Network Security Expert (ACNSE) - ClearPass Specialization, Accredited Aruba ClearPass Professional, ACCP
Aruba Certified Design Professional (ACDP)	ACDP Certification, Aruba Design Professional, Aruba Certified Design Expert, ACDP Exam, Aruba Network Design Certified Professional, ACNP Certification (Aruba Certified Network Professional), Aruba Wireless Design Specialist, Aruba WLAN Design Certified Engineer, ACDP Accreditation, Aruba Network Architecture Certification, ACDP
Aruba Certified Edge Professional (ACEP)	ACEP Certification, Aruba Edge Professional, Aruba Certified Edge Expert, ACEP Exam, Aruba Network Edge Specialist, Aruba Certified Networking Professional (ACNP), ACEP Training Program, Aruba Mobility Expert (AME), ACMP-ACEP Certification, Aruba Wireless Network Professional, ACEP
Aruba Certified Mobility Professional (ACMP)	ACMP Certification, Aruba Mobility Professional, Aruba Certified Mobility Expert, ACMP Certified Professional, Aruba Mobility Specialist, ACMP Accreditation, Aruba Wi-Fi Certified Professional, Certified Aruba Wireless Engineer, ACMP Designation, Aruba Network Mobility Certification, ACMP
Certified Broadcast Networking Technologist (CBNT)	CBNT Certification, Broadcast Networking Technologist Certification, Certified Broadcast Network Technician, CBNT Certified Professional, Broadcast Network Technologist Certification, CBNT Accredited Engineer, Certified Broadcasting Network Specialist, Broadcasting Technology Certification, CBNT Certified Expert, Certified Networking Technologist (CBNT), CBNT
Certified Computer Examiner (CCE)	Computer Forensic Examiner, CCE Certified Examiner, Certified Digital Forensics Examiner, Computer Crime Examiner, Cyber Forensic Investigator, CCE Certification Holder, Certified Computer Investigation Specialist (CCIS), Digital Evidence Examiner, Computer Forensics Analyst with CCE certification, CCE-qualified Forensic Expert, CCE
Certified Electronics Technician by the ETA (CET)	Certified CET Technician, ETA Certified Electronics Technician, CET by ETA, Certified Electronics Tech, Electronics Technician Certification (CET), ETA-Certified Electronics Specialist, Certified Electronic Technician Program, ETA CET Certification, Electronics Technician by ETA, CET Accredited Certification, CET
Certified Hardware Asset Management Professional (CHAMP)	Certified Hardware Asset Manager, CHAMP Certification, Professional Hardware Asset Management Expert, Certified Asset Management Specialist, Hardware Asset Management Professional Certification, CHAMP Certified Practitioner, Accredited Hardware Asset Manager, Certified IT Asset Management Professional (CHAMP), CHAMP Designation Holder, CHAMP Certified Expert, CHAMP
Certified Information Systems Auditor (CISA)	CISA Certified Auditor, Information Systems Auditor Certification, CISA Accredited Professional, Certified IS Auditor, CISA Audit Specialist, CISA Certified IT Auditor, Certified Information Systems Assurance Professional, CISA Audit and Assurance Expert, ISACA CISA Certification Holder, Certified Information Systems Audit Consultant, CISA
Certified Information Security Manager (CISM)	CISM Certification, Information Security Manager Certification, Certified IS Manager, CISM Designation, Information Security Management Certification, CISM Credential, Certified Security Manager, ISM Certification, CISM Professional Certification, Certified InfoSec Manager, CISM
Certified Information Systems Security Professional (CISSP)	CISSP Certification, Certified Information Systems Security Professional, CISSP Certified, Information Security Professional (CISSP), Certified Cybersecurity Expert (CISSP), CISSP Security Certification, CISSP-qualified professional, CISSP-Designated Specialist, Accredited CISSP Specialist, Certified IT Security Professional, CISSP
Certified Information Technology Asset Manager (CITAM)	Certified IT Asset Manager, CITAM Certified Professional, Information Technology Asset Management Certification, IT Asset Manager Certification, CITAM-qualified professional, Certified ITAM Specialist, IT Asset Management Certification, CITAM Certified Practitioner, Certified IT Assets Manager, CITAM Designation, CITAM
Certified Internet Webmaster (CIW)	CIW Webmaster Certification, Certified CIW Professional, Internet Webmaster Certified, CIW Website Design Certification, CIW Master Designer Certification, Certified Internet Web Developer (CIWD), CIW Site Development Associate, CIW Advanced HTML5 and CSS3 Specialist, CIW JavaScript Specialist, Certified Webmaster, CIW
Certified Software Asset Manager (CSAM)	Software Asset Manager Certification, CSAM Certification, Certified SAM Professional, Software License Management Certification, Certified IT Asset Manager, CSAM Practitioner, Accredited Software Asset Manager, Certified SAM Expert, Software Asset Management Specialist Certification, CSAM Designation, CSAM
Certified Software Developer Program (CSDP)	CSDP certification, Certified Software Developer Program, CSDP credential, Software Developer Certification, Certified Developer Program, CSDP Certified, CSDP Professional, CSDP Accreditation, Software Development Certification, Certified Developer Training, CSDP
Certified Software Tester (CSTE)	CSTE certification, Software Tester Certification, Certified Tester (CSTE), CSTE Certified, CSTE Qualification, Professional Software Testing Certification, Quality Assurance Certification (CSTE), CSTE Testing Specialist, CSTE Exam Passer, CSTE Accreditation, CSTE
Help Desk Institute (HDI)	HDI Help Desk Analyst, HDI Support Center Analyst, HDI Desktop Support Technician, HDI Technical Support Professional, HDI Service Desk Manager, Help Desk Institute Certified Professional, HDI Customer Service Representative, HDI ITIL Foundation for ITSM, HDI Problem Management Professional, HDI Incident Management Specialist, HDI
Internet and Computing Core Certification (IC3)	IC3 Certification, Internet and Computing Core Certified, IC3 Computing Fundamentals Certification, IC3 Digital Literacy Certification, IC3 Computer Essentials Certification, IC3 Key Applications Certification, Internet and Computing Core Expertise, Certified in IC3, IC3 Technology Skills Certificate, IC3 Computer Proficiency Credential, IC3
Certified Data Privacy Solutions Engineer (CDPSE)	CDPSE Certification, Data Privacy Solutions Engineer Certification, Certified CDPSE Professional, CDPSE Specialist, Certified Data Privacy Engineer, Data Privacy Solutions Expert, CDPSE Accreditation, Certified Data Privacy Professional (CDPP), CDPSE Designation, Certified Solutions Engineer for Data Privacy, CDPSE
ITIL 4 Foundation Level Certification	ITIL 4 Foundation, ITIL Foundation Certification Level 4, ITIL v4 Foundation, ITIL 4 Certified, IT Service Management Foundation Level Certification (ITIL 4), IT Infrastructure Library 4 Foundation Certification, ITIL Version 4 Foundation Level Certification, ITSM Foundation Certificate (ITIL v4), IT Service Management Framework Foundation Level Certification (ITIL 4), Information Technology Infrastructure Library Version 4.0 - Foundational Certification
"Certified Cloud Security Professional (CCSP)
"	CCSP Certification, Cloud Security Professional, Certified Cloud Security Expert, CCSP Certified Specialist, Cloud Security Practitioner, CCSP Certified Professional, Certified Cloud Security Specialist, Cloud Security Engineer (CCSP), Certified Cloud Security Analyst (CCSP), CCSP-Cloud Security Accreditation, CCSP
Certified Data Professional (CDP)	CDP Certified Professional, Certified Data Specialist, Data Management Certified Professional, CDP Certification Holder, Accredited Data Professional, Certified Data Analyst, CDP Designation Holder, Data Governance Certified Professional, CDP Exam Passer, Certified Data Practitioner, CDP
Certified Ethical Hacker (CEH)	Ethical Hacking Certified, CEH Certified Professional, Ethical Hacker Certification, Certified White Hat Hacker, CEHv10 Certified, Cyber Security Penetration Tester Certification, CEH Exam Passed, Licensed Ethical Hacker, CEH Accredited Professional, Offensive Security Specialist, CEH
Certified in Risk and Information Systems Control (CRISC)	CRISC Certification, CRISC Certified, Risk and Information Systems Control Certification, ISACA CRISC, Information Systems Control Certification, CRISC Exam, CRISC Designation, Certified in Risk and IS Control (CRISC), CRISC Credential, CRISC Qualification, CRISC
VMware Certified Professional – Data Center Virtualization 2022 (VCP-DCV 2022)	VCP-DCV 2022, VMware Certified Professional in Data Center Virtualization 2022, VMware DCV Certification, VCP-DCV 2022 Certification, VMware Certified Data Center Virtualization Professional 2022, VMware DCV Expert Certification, Data Center Virtualization VCP-DCV 2022, VCP for Data Center Virtualization (DCV) 2022, VMware Certified Professional – DC Virtualization 2022, VCP-DCV Certification, VCP-DCV 2022
